PRECINCT,CANDIDATE,PARTY,VOTES,PERCENTAGE
Election District 23-04,JANICE LORRAH,Republican Party,321,27.94 %
Election District 23-05,LYDIA YORK,Democratic Party,386,73.11 %
Election District 23-05,JANICE LORRAH,Republican Party,142,26.89 %
Election District 23-06,LYDIA YORK,Democratic Party,540,56.13 %
Election District 23-06,JANICE LORRAH,Republican Party,422,43.87 %
Election District 23-07,LYDIA YORK,Democratic Party,417,56.97 %
Election District 23-07,JANICE LORRAH,Republican Party,315,43.03 %
Election District 23-08,LYDIA YORK,Democratic Party,140,71.07 %
Election District 23-08,JANICE LORRAH,Republican Party,57,28.93 %
Election District 23-09,LYDIA YORK,Democratic Party,547,57.4 %
Election District 23-09,JANICE LORRAH,Republican Party,406,42.6 %
Election District 23-10,LYDIA YORK,Democratic Party,59,71.08 %
Election District 23-10,JANICE LORRAH,Republican Party,24,28.92 %
Election District 23-11,LYDIA YORK,Democratic Party,500,51.44 %
Election District 23-11,JANICE LORRAH,Republican Party,472,48.56 %
Election District 23-12,LYDIA YORK,Democratic Party,201,47.86 %
Election District 23-12,JANICE LORRAH,Republican Party,219,52.14 %
Election District 24-01,LYDIA YORK,Democratic Party,319,58.42 %
Election District 24-01,JANICE LORRAH,Republican Party,227,41.58 %
Election District 24-02,LYDIA YORK,Democratic Party,499,68.36 %
Election District 24-02,JANICE LORRAH,Republican Party,231,31.64 %
Election District 24-03,LYDIA YORK,Democratic Party,266,59.11 %
Election District 24-03,JANICE LORRAH,Republican Party,184,40.89 %
Election District 24-04,LYDIA YORK,Democratic Party,222,73.75 %
Election District 24-04,JANICE LORRAH,Republican Party,79,26.25 %
Election District 24-05,LYDIA YORK,Democratic Party,398,62.19 %
Election District 24-05,JANICE LORRAH,Republican Party,242,37.81 %
Election District 24-06,LYDIA YORK,Democratic Party,239,58.58 %
Election District 24-06,JANICE LORRAH,Republican Party,169,41.42 %
Election District 24-07,LYDIA YORK,Democratic Party,279,71.91 %
Election District 24-07,JANICE LORRAH,Republican Party,109,28.09 %
Election District 24-08,LYDIA YORK,Democratic Party,336,56.38 %
Election District 24-08,JANICE LORRAH,Republican Party,260,43.62 %
Election District 24-09,LYDIA YORK,Democratic Party,189,54.94 %
Election District 24-09,JANICE LORRAH,Republican Party,155,45.06 %
Election District 24-10,LYDIA YORK,Democratic Party,363,64.36 %
Election District 24-10,JANICE LORRAH,Republican Party,201,35.64 %
Election District 24-11,LYDIA YORK,Democratic Party,286,67.29 %
Election District 24-11,JANICE LORRAH,Republican Party,139,32.71 %
Election District 24-12,LYDIA YORK,Democratic Party,56,78.87 %
Election District 24-12,JANICE LORRAH,Republican Party,15,21.13 %
Election District 25-01,LYDIA YORK,Democratic Party,323,81.57 %
Election District 25-01,JANICE LORRAH,Republican Party,73,18.43 %
Election District 25-02,LYDIA YORK,Democratic Party,487,62.04 %
Election District 25-02,JANICE LORRAH,Republican Party,298,37.96 %
Election District 25-03,LYDIA YORK,Democratic Party,448,74.79 %
Election District 25-03,JANICE LORRAH,Republican Party,151,25.21 %
Election District 25-04,LYDIA YORK,Democratic Party,345,58.67 %
Election District 25-04,JANICE LORRAH,Republican Party,243,41.33 %
Election District 25-05,LYDIA YORK,Democratic Party,464,64 %
Election District 25-05,JANICE LORRAH,Republican Party,261,36 %
Election District 25-06,LYDIA YORK,Democratic Party,427,64.7 %
Election District 25-06,JANICE LORRAH,Republican Party,233,35.3 %
Election District 25-07,LYDIA YORK,Democratic Party,479,60.86 %
Election District 25-07,JANICE LORRAH,Republican Party,308,39.14 %
Election District 25-08,LYDIA YORK,Democratic Party,181,60.54 %
Election District 25-08,JANICE LORRAH,Republican Party,118,39.46 %
Election District 25-09,LYDIA YORK,Democratic Party,467,65.04 %
Election District 25-09,JANICE LORRAH,Republican Party,251,34.96 %
Election District 25-10,LYDIA YORK,Democratic Party,274,64.93 %
Election District 25-10,JANICE LORRAH,Republican Party,148,35.07 %
Election District 25-11,LYDIA YORK,Democratic Party,14,82.35 %
Election District 25-11,JANICE LORRAH,Republican Party,3,17.65 %
Election District 26-01,LYDIA YORK,Democratic Party,443,63.29 %
Election District 26-01,JANICE LORRAH,Republican Party,257,36.71 %
Election District 26-02,LYDIA YORK,Democratic Party,311,75.85 %
Election District 26-02,JANICE LORRAH,Republican Party,99,24.15 %
Election District 26-03,LYDIA YORK,Democratic Party,320,68.23 %
Election District 26-03,JANICE LORRAH,Republican Party,149,31.77 %
Election District 26-04,LYDIA YORK,Democratic Party,469,70.95 %
Election District 26-04,JANICE LORRAH,Republican Party,192,29.05 %
Election District 26-05,LYDIA YORK,Democratic Party,535,76.21 %
Election District 26-05,JANICE LORRAH,Republican Party,167,23.79 %
Election District 26-06,LYDIA YORK,Democratic Party,444,65.1 %
Election District 26-06,JANICE LORRAH,Republican Party,238,34.9 %
Election District 26-07,LYDIA YORK,Democratic Party,517,69.49 %
Election District 26-07,JANICE LORRAH,Republican Party,227,30.51 %
Election District 26-08,LYDIA YORK,Democratic Party,65,62.5 %
Election District 26-08,JANICE LORRAH,Republican Party,39,37.5 %
Election District 26-09,LYDIA YORK,Democratic Party,517,81.8 %
Election District 26-09,JANICE LORRAH,Republican Party,115,18.2 %
Election District 27-01,LYDIA YORK,Democratic Party,789,67.9 %
Election District 27-01,JANICE LORRAH,Republican Party,373,32.1 %
Election District 27-02,LYDIA YORK,Democratic Party,66,54.55 %
Election District 27-02,JANICE LORRAH,Republican Party,55,45.45 %
Election District 27-03,LYDIA YORK,Democratic Party,350,68.23 %
Election District 27-03,JANICE LORRAH,Republican Party,163,31.77 %
Election District 27-04,LYDIA YORK,Democratic Party,110,72.37 %
Election District 27-04,JANICE LORRAH,Republican Party,42,27.63 %
Election District 27-05,LYDIA YORK,Democratic Party,506,58.36 %
Election District 27-05,JANICE LORRAH,Republican Party,361,41.64 %
Election District 27-06,LYDIA YORK,Democratic Party,333,77.62 %
Election District 27-06,JANICE LORRAH,Republican Party,96,22.38 %
Election District 27-07,LYDIA YORK,Democratic Party,137,45.36 %
Election District 27-07,JANICE LORRAH,Republican Party,165,54.64 %
Election District 27-08,LYDIA YORK,Democratic Party,600,57.36 %
Election District 27-08,JANICE LORRAH,Republican Party,446,42.64 %
Election District 27-09,LYDIA YORK,Democratic Party,43,35.25 %
Election District 27-09,JANICE LORRAH,Republican Party,79,64.75 %
Election District 27-10,LYDIA YORK,Democratic Party,435,52.92 %
Election District 27-10,JANICE LORRAH,Republican Party,387,47.08 %
Election District 27-11,LYDIA YORK,Democratic Party,42,30.66 %
Election District 27-11,JANICE LORRAH,Republican Party,95,69.34 %
Election District 27-12,LYDIA YORK,Democratic Party,490,53.2 %
Election District 27-12,JANICE LORRAH,Republican Party,431,46.8 %
Election District 27-13,LYDIA YORK,Democratic Party,426,42.01 %
Election District 27-13,JANICE LORRAH,Republican Party,588,57.99 %
Election District 27-14,LYDIA YORK,Democratic Party,281,43.63 %
Election District 27-14,JANICE LORRAH,Republican Party,363,56.37 %
Election District 27-15,LYDIA YORK,Democratic Party,190,47.26 %
Election District 27-15,JANICE LORRAH,Republican Party,212,52.74 %
Election District 27-16,LYDIA YORK,Democratic Party,165,55 %
Election District 27-16,JANICE LORRAH,Republican Party,135,45 %
Election District 28-01,LYDIA YORK,Democratic Party,26,31.33 %
Election District 28-01,JANICE LORRAH,Republican Party,57,68.67 %
Election District 28-02,LYDIA YORK,Democratic Party,342,55.25 %
Election District 28-02,JANICE LORRAH,Republican Party,277,44.75 %
Election District 28-03,LYDIA YORK,Democratic Party,284,58.92 %
Election District 28-03,JANICE LORRAH,Republican Party,198,41.08 %
Election District 28-04,LYDIA YORK,Democratic Party,250,60.24 %
Election District 28-04,JANICE LORRAH,Republican Party,165,39.76 %
Election District 28-05,LYDIA YORK,Democratic Party,378,44.68 %
Election District 28-05,JANICE LORRAH,Republican Party,468,55.32 %
Election District 28-06,LYDIA YORK,Democratic Party,429,60.42 %
Election District 28-06,JANICE LORRAH,Republican Party,281,39.58 %
Election District 28-07,LYDIA YORK,Democratic Party,537,67.46 %
Election District 28-07,JANICE LORRAH,Republican Party,259,32.54 %
Election District 28-08,LYDIA YORK,Democratic Party,425,44.41 %
Election District 28-08,JANICE LORRAH,Republican Party,532,55.59 %
Election District 28-09,LYDIA YORK,Democratic Party,165,72.69 %
Election District 28-09,JANICE LORRAH,Republican Party,62,27.31 %
Election District 28-10,LYDIA YORK,Democratic Party,118,36.65 %
Election District 28-10,JANICE LORRAH,Republican Party,204,63.35 %
Election District 28-11,LYDIA YORK,Democratic Party,213,74.74 %
Election District 28-11,JANICE LORRAH,Republican Party,72,25.26 %
Election District 28-12,LYDIA YORK,Democratic Party,164,48.09 %
Election District 28-12,JANICE LORRAH,Republican Party,177,51.91 %
Election District 28-13,LYDIA YORK,Democratic Party,267,75.42 %
Election District 28-13,JANICE LORRAH,Republican Party,87,24.58 %
Election District 28-14,LYDIA YORK,Democratic Party,94,40.69 %
Election District 28-14,JANICE LORRAH,Republican Party,137,59.31 %
Election District 29-01,LYDIA YORK,Democratic Party,533,59.16 %
Election District 29-01,JANICE LORRAH,Republican Party,368,40.84 %
Election District 29-02,LYDIA YORK,Democratic Party,572,64.13 %
Election District 29-02,JANICE LORRAH,Republican Party,320,35.87 %
Election District 29-03,LYDIA YORK,Democratic Party,833,61.43 %
Election District 29-03,JANICE LORRAH,Republican Party,523,38.57 %
Election District 29-04,LYDIA YORK,Democratic Party,622,63.86 %
Election District 29-04,JANICE LORRAH,Republican Party,352,36.14 %
Election District 29-05,LYDIA YORK,Democratic Party,401,47.12 %
Election District 29-05,JANICE LORRAH,Republican Party,450,52.88 %
Election District 29-06,LYDIA YORK,Democratic Party,578,63.87 %
Election District 29-06,JANICE LORRAH,Republican Party,327,36.13 %
Election District 29-07,LYDIA YORK,Democratic Party,389,49.55 %
Election District 29-07,JANICE LORRAH,Republican Party,396,50.45 %
Election District 29-08,LYDIA YORK,Democratic Party,392,44.9 %
Election District 29-08,JANICE LORRAH,Republican Party,481,55.1 %
Election District 29-09,LYDIA YORK,Democratic Party,40,44.94 %
Election District 29-09,JANICE LORRAH,Republican Party,49,55.06 %
Election District 29-10,LYDIA YORK,Democratic Party,79,35.75 %
Election District 29-10,JANICE LORRAH,Republican Party,142,64.25 %
Election District 29-11,LYDIA YORK,Democratic Party,83,50.3 %
Election District 29-11,JANICE LORRAH,Republican Party,82,49.7 %
Election District 29-12,LYDIA YORK,Democratic Party,306,39.53 %
Election District 29-12,JANICE LORRAH,Republican Party,468,60.47 %
Election District 30-01,LYDIA YORK,Democratic Party,160,20.46 %
Election District 30-01,JANICE LORRAH,Republican Party,622,79.54 %
Election District 30-02,LYDIA YORK,Democratic Party,114,21.84 %
Election District 30-02,JANICE LORRAH,Republican Party,408,78.16 %
Election District 30-03,LYDIA YORK,Democratic Party,83,41.29 %
Election District 30-03,JANICE LORRAH,Republican Party,118,58.71 %
Election District 30-04,LYDIA YORK,Democratic Party,76,33.19 %
Election District 30-04,JANICE LORRAH,Republican Party,153,66.81 %
Election District 30-05,LYDIA YORK,Democratic Party,254,32.32 %
Election District 30-05,JANICE LORRAH,Republican Party,532,67.68 %
Election District 30-06,LYDIA YORK,Democratic Party,10,43.48 %
Election District 30-06,JANICE LORRAH,Republican Party,13,56.52 %
Election District 30-07,LYDIA YORK,Democratic Party,119,47.41 %
Election District 30-07,JANICE LORRAH,Republican Party,132,52.59 %
Election District 30-08,LYDIA YORK,Democratic Party,278,42.9 %
Election District 30-08,JANICE LORRAH,Republican Party,370,57.1 %
Election District 30-09,LYDIA YORK,Democratic Party,158,20 %
Election District 30-09,JANICE LORRAH,Republican Party,632,80 %
Election District 30-10,LYDIA YORK,Democratic Party,93,24.47 %
Election District 30-10,JANICE LORRAH,Republican Party,287,75.53 %
Election District 30-11,LYDIA YORK,Democratic Party,45,13.8 %
Election District 30-11,JANICE LORRAH,Republican Party,281,86.2 %
Election District 30-12,LYDIA YORK,Democratic Party,280,38.3 %
Election District 30-12,JANICE LORRAH,Republican Party,451,61.7 %
Election District 30-13,LYDIA YORK,Democratic Party,207,31.17 %
Election District 30-13,JANICE LORRAH,Republican Party,457,68.83 %
Election District 30-14,LYDIA YORK,Democratic Party,144,31.44 %
Election District 30-14,JANICE LORRAH,Republican Party,314,68.56 %
Election District 30-15,LYDIA YORK,Democratic Party,85,16.47 %
Election District 30-15,JANICE LORRAH,Republican Party,431,83.53 %
Election District 30-16,LYDIA YORK,Democratic Party,68,23.53 %
Election District 30-16,JANICE LORRAH,Republican Party,221,76.47 %
Election District 30-17,LYDIA YORK,Democratic Party,84,23.08 %
Election District 30-17,JANICE LORRAH,Republican Party,280,76.92 %
Election District 31-01,LYDIA YORK,Democratic Party,428,70.39 %
Election District 31-01,JANICE LORRAH,Republican Party,180,29.61 %
Election District 31-02,LYDIA YORK,Democratic Party,422,56.64 %
Election District 31-02,JANICE LORRAH,Republican Party,323,43.36 %
Election District 31-03,LYDIA YORK,Democratic Party,433,68.08 %
Election District 31-03,JANICE LORRAH,Republican Party,203,31.92 %
Election District 31-04,LYDIA YORK,Democratic Party,451,64.25 %
Election District 31-04,JANICE LORRAH,Republican Party,251,35.75 %
Election District 31-05,LYDIA YORK,Democratic Party,467,78.09 %
Election District 31-05,JANICE LORRAH,Republican Party,131,21.91 %
Election District 31-06,LYDIA YORK,Democratic Party,454,75.42 %
Election District 31-06,JANICE LORRAH,Republican Party,148,24.58 %
Election District 31-07,LYDIA YORK,Democratic Party,200,64.52 %
Election District 31-07,JANICE LORRAH,Republican Party,110,35.48 %
Election District 31-08,LYDIA YORK,Democratic Party,275,61.25 %
Election District 31-08,JANICE LORRAH,Republican Party,174,38.75 %
Election District 31-09,LYDIA YORK,Democratic Party,253,60.1 %
Election District 31-09,JANICE LORRAH,Republican Party,168,39.9 %
Election District 31-10,LYDIA YORK,Democratic Party,306,61.08 %
Election District 31-10,JANICE LORRAH,Republican Party,195,38.92 %
Election District 32-01,LYDIA YORK,Democratic Party,320,67.94 %
Election District 32-01,JANICE LORRAH,Republican Party,151,32.06 %
Election District 32-02,LYDIA YORK,Democratic Party,144,56.03 %
Election District 32-02,JANICE LORRAH,Republican Party,113,43.97 %
Election District 32-03,LYDIA YORK,Democratic Party,286,56.75 %
Election District 32-03,JANICE LORRAH,Republican Party,218,43.25 %
Election District 32-04,LYDIA YORK,Democratic Party,143,66.2 %
Election District 32-04,JANICE LORRAH,Republican Party,73,33.8 %
Election District 32-05,LYDIA YORK,Democratic Party,308,50.08 %
Election District 32-05,JANICE LORRAH,Republican Party,307,49.92 %
Election District 32-06,LYDIA YORK,Democratic Party,49,39.2 %
Election District 32-06,JANICE LORRAH,Republican Party,76,60.8 %
Election District 32-07,LYDIA YORK,Democratic Party,161,58.33 %
Election District 32-07,JANICE LORRAH,Republican Party,115,41.67 %
Election District 32-08,LYDIA YORK,Democratic Party,69,89.61 %
Election District 32-08,JANICE LORRAH,Republican Party,8,10.39 %
Election District 32-09,LYDIA YORK,Democratic Party,93,49.73 %
Election District 32-09,JANICE LORRAH,Republican Party,94,50.27 %
Election District 32-10,LYDIA YORK,Democratic Party,319,58 %
Election District 32-10,JANICE LORRAH,Republican Party,231,42 %
Election District 32-11,LYDIA YORK,Democratic Party,430,52.06 %
Election District 32-11,JANICE LORRAH,Republican Party,396,47.94 %
Election District 32-12,LYDIA YORK,Democratic Party,364,78.79 %
Election District 32-12,JANICE LORRAH,Republican Party,98,21.21 %
Election District 33-01,LYDIA YORK,Democratic Party,134,46.21 %
Election District 33-01,JANICE LORRAH,Republican Party,156,53.79 %
Election District 33-02,LYDIA YORK,Democratic Party,282,43.25 %
Election District 33-02,JANICE LORRAH,Republican Party,370,56.75 %
Election District 33-03,LYDIA YORK,Democratic Party,417,38.5 %
Election District 33-03,JANICE LORRAH,Republican Party,666,61.5 %
Election District 33-04,LYDIA YORK,Democratic Party,374,36.63 %
Election District 33-04,JANICE LORRAH,Republican Party,647,63.37 %
Election District 33-05,LYDIA YORK,Democratic Party,443,43.9 %
Election District 33-05,JANICE LORRAH,Republican Party,566,56.1 %
Election District 33-06,LYDIA YORK,Democratic Party,50,27.17 %
Election District 33-06,JANICE LORRAH,Republican Party,134,72.83 %
Election District 33-07,LYDIA YORK,Democratic Party,154,25.25 %
Election District 33-07,JANICE LORRAH,Republican Party,456,74.75 %
Election District 33-08,LYDIA YORK,Democratic Party,375,48.89 %
Election District 33-08,JANICE LORRAH,Republican Party,392,51.11 %
Election District 33-09,LYDIA YORK,Democratic Party,236,31.3 %
Election District 33-09,JANICE LORRAH,Republican Party,518,68.7 %
Election District 33-10,LYDIA YORK,Democratic Party,119,29.17 %
Election District 33-10,JANICE LORRAH,Republican Party,289,70.83 %
Election District 33-11,LYDIA YORK,Democratic Party,100,27.03 %
Election District 33-11,JANICE LORRAH,Republican Party,270,72.97 %
Election District 33-12,LYDIA YORK,Democratic Party,235,36.6 %
Election District 33-12,JANICE LORRAH,Republican Party,407,63.4 %
Election District 34-01,LYDIA YORK,Democratic Party,480,52.23 %
Election District 34-01,JANICE LORRAH,Republican Party,439,47.77 %
Election District 34-02,LYDIA YORK,Democratic Party,146,40 %
Election District 34-02,JANICE LORRAH,Republican Party,219,60 %
Election District 34-03,LYDIA YORK,Democratic Party,568,54.67 %
Election District 34-03,JANICE LORRAH,Republican Party,471,45.33 %
Election District 34-04,LYDIA YORK,Democratic Party,123,36.83 %
Election District 34-04,JANICE LORRAH,Republican Party,211,63.17 %
Election District 34-05,LYDIA YORK,Democratic Party,388,44.6 %
Election District 34-05,JANICE LORRAH,Republican Party,482,55.4 %
Election District 34-06,LYDIA YORK,Democratic Party,199,37.62 %
Election District 34-06,JANICE LORRAH,Republican Party,330,62.38 %
Election District 34-07,LYDIA YORK,Democratic Party,227,39.07 %
Election District 34-07,JANICE LORRAH,Republican Party,354,60.93 %
Election District 34-08,LYDIA YORK,Democratic Party,496,45.42 %
Election District 34-08,JANICE LORRAH,Republican Party,596,54.58 %
Election District 34-09,LYDIA YORK,Democratic Party,531,54.35 %
Election District 34-09,JANICE LORRAH,Republican Party,446,45.65 %
Election District 34-10,LYDIA YORK,Democratic Party,231,38.89 %
Election District 34-10,JANICE LORRAH,Republican Party,363,61.11 %
Election District 34-11,LYDIA YORK,Democratic Party,501,54.34 %
Election District 34-11,JANICE LORRAH,Republican Party,421,45.66 %
Election District 35-01,LYDIA YORK,Democratic Party,191,23.07 %
Election District 35-01,JANICE LORRAH,Republican Party,637,76.93 %
Election District 35-02,LYDIA YORK,Democratic Party,119,21.79 %
Election District 35-02,JANICE LORRAH,Republican Party,427,78.21 %
Election District 35-03,LYDIA YORK,Democratic Party,259,37.27 %
Election District 35-03,JANICE LORRAH,Republican Party,436,62.73 %
Election District 35-04,LYDIA YORK,Democratic Party,152,36.71 %
Election District 35-04,JANICE LORRAH,Republican Party,262,63.29 %
Election District 35-05,LYDIA YORK,Democratic Party,240,37.68 %
Election District 35-05,JANICE LORRAH,Republican Party,397,62.32 %
Election District 35-06,LYDIA YORK,Democratic Party,106,20.11 %
Election District 35-06,JANICE LORRAH,Republican Party,421,79.89 %
Election District 35-07,LYDIA YORK,Democratic Party,208,26.4 %
Election District 35-07,JANICE LORRAH,Republican Party,580,73.6 %
Election District 35-08,LYDIA YORK,Democratic Party,159,18.95 %
Election District 35-08,JANICE LORRAH,Republican Party,680,81.05 %
Election District 35-09,LYDIA YORK,Democratic Party,616,40.18 %
Election District 35-09,JANICE LORRAH,Republican Party,917,59.82 %
Election District 35-10,LYDIA YORK,Democratic Party,23,28.75 %
Election District 35-10,JANICE LORRAH,Republican Party,57,71.25 %
Election District 35-11,LYDIA YORK,Democratic Party,19,14.07 %
Election District 35-11,JANICE LORRAH,Republican Party,116,85.93 %
Election District 35-12,LYDIA YORK,Democratic Party,52,40.31 %
Election District 35-12,JANICE LORRAH,Republican Party,77,59.69 %
Election District 36-01,LYDIA YORK,Democratic Party,422,44.75 %
Election District 36-01,JANICE LORRAH,Republican Party,521,55.25 %
Election District 36-02,LYDIA YORK,Democratic Party,367,33.58 %
Election District 36-02,JANICE LORRAH,Republican Party,726,66.42 %
Election District 36-03,LYDIA YORK,Democratic Party,576,46.45 %
Election District 36-03,JANICE LORRAH,Republican Party,664,53.55 %
Election District 36-04,LYDIA YORK,Democratic Party,389,38.33 %
Election District 36-04,JANICE LORRAH,Republican Party,626,61.67 %
Election District 36-05,LYDIA YORK,Democratic Party,144,33.33 %
Election District 36-05,JANICE LORRAH,Republican Party,288,66.67 %
Election District 36-06,LYDIA YORK,Democratic Party,358,34.36 %
Election District 36-06,JANICE LORRAH,Republican Party,684,65.64 %
Election District 36-07,LYDIA YORK,Democratic Party,194,41.1 %
Election District 36-07,JANICE LORRAH,Republican Party,278,58.9 %
Election District 36-08,LYDIA YORK,Democratic Party,232,35.58 %
Election District 36-08,JANICE LORRAH,Republican Party,420,64.42 %
Election District 36-09,LYDIA YORK,Democratic Party,28,20.44 %
Election District 36-09,JANICE LORRAH,Republican Party,109,79.56 %
Election District 36-10,LYDIA YORK,Democratic Party,369,43.31 %
Election District 36-10,JANICE LORRAH,Republican Party,483,56.69 %
Election District 37-01,LYDIA YORK,Democratic Party,376,48.02 %
Election District 37-01,JANICE LORRAH,Republican Party,407,51.98 %
Election District 37-02,LYDIA YORK,Democratic Party,339,32.19 %
Election District 37-02,JANICE LORRAH,Republican Party,714,67.81 %
Election District 37-03,LYDIA YORK,Democratic Party,617,40.81 %
Election District 37-03,JANICE LORRAH,Republican Party,895,59.19 %
Election District 37-04,LYDIA YORK,Democratic Party,379,34.45 %
Election District 37-04,JANICE LORRAH,Republican Party,721,65.55 %
Election District 37-05,LYDIA YORK,Democratic Party,143,25.31 %
Election District 37-05,JANICE LORRAH,Republican Party,422,74.69 %
Election District 37-06,LYDIA YORK,Democratic Party,671,46.34 %
Election District 37-06,JANICE LORRAH,Republican Party,777,53.66 %
Election District 37-07,LYDIA YORK,Democratic Party,328,36.04 %
Election District 37-07,JANICE LORRAH,Republican Party,582,63.96 %
Election District 37-08,LYDIA YORK,Democratic Party,23,23.23 %
Election District 37-08,JANICE LORRAH,Republican Party,76,76.77 %
Election District 37-09,LYDIA YORK,Democratic Party,82,37.79 %
Election District 37-09,JANICE LORRAH,Republican Party,135,62.21 %
Election District 38-01,LYDIA YORK,Democratic Party,417,37.37 %
Election District 38-01,JANICE LORRAH,Republican Party,699,62.63 %
Election District 38-02,LYDIA YORK,Democratic Party,745,42.35 %
Election District 38-02,JANICE LORRAH,Republican Party,"1,014",57.65 %
Election District 38-03,LYDIA YORK,Democratic Party,443,39.8 %
Election District 38-03,JANICE LORRAH,Republican Party,670,60.2 %
Election District 38-04,LYDIA YORK,Democratic Party,889,48.39 %
Election District 38-04,JANICE LORRAH,Republican Party,948,51.61 %
Election District 38-05,LYDIA YORK,Democratic Party,453,36.47 %
Election District 38-05,JANICE LORRAH,Republican Party,789,63.53 %
Election District 38-06,LYDIA YORK,Democratic Party,435,32.25 %
Election District 38-06,JANICE LORRAH,Republican Party,914,67.75 %
Election District 38-07,LYDIA YORK,Democratic Party,688,41.67 %
Election District 38-07,JANICE LORRAH,Republican Party,963,58.33 %
Election District 38-08,LYDIA YORK,Democratic Party,304,34.94 %
Election District 38-08,JANICE LORRAH,Republican Party,566,65.06 %
Election District 38-09,LYDIA YORK,Democratic Party,497,42.77 %
Election District 38-09,JANICE LORRAH,Republican Party,665,57.23 %
Election District 38-10,LYDIA YORK,Democratic Party,486,33.17 %
Election District 38-10,JANICE LORRAH,Republican Party,979,66.83 %
Election District 38-11,LYDIA YORK,Democratic Party,593,42 %
Election District 38-11,JANICE LORRAH,Republican Party,819,58 %
Election District 39-01,LYDIA YORK,Democratic Party,121,20.93 %
Election District 39-01,JANICE LORRAH,Republican Party,457,79.07 %
Election District 39-02,LYDIA YORK,Democratic Party,362,41.47 %
Election District 39-02,JANICE LORRAH,Republican Party,511,58.53 %
Election District 39-03,LYDIA YORK,Democratic Party,337,33.7 %
Election District 39-03,JANICE LORRAH,Republican Party,663,66.3 %
Election District 39-04,LYDIA YORK,Democratic Party,287,41.84 %
Election District 39-04,JANICE LORRAH,Republican Party,399,58.16 %
Election District 39-05,LYDIA YORK,Democratic Party,279,25.14 %
Election District 39-05,JANICE LORRAH,Republican Party,831,74.86 %
Election District 39-06,LYDIA YORK,Democratic Party,273,31.38 %
Election District 39-06,JANICE LORRAH,Republican Party,597,68.62 %
Election District 39-07,LYDIA YORK,Democratic Party,140,33.33 %
Election District 39-07,JANICE LORRAH,Republican Party,280,66.67 %
Election District 39-08,LYDIA YORK,Democratic Party,130,41.4 %
Election District 39-08,JANICE LORRAH,Republican Party,184,58.6 %
Election District 39-09,LYDIA YORK,Democratic Party,46,23.35 %
Election District 39-09,JANICE LORRAH,Republican Party,151,76.65 %
Election District 40-01,LYDIA YORK,Democratic Party,185,28.77 %
Election District 40-01,JANICE LORRAH,Republican Party,458,71.23 %
Election District 40-02,LYDIA YORK,Democratic Party,226,18.98 %
Election District 40-02,JANICE LORRAH,Republican Party,965,81.02 %
Election District 40-03,LYDIA YORK,Democratic Party,252,47.55 %
Election District 40-03,JANICE LORRAH,Republican Party,278,52.45 %
Election District 40-04,LYDIA YORK,Democratic Party,220,20.72 %
Election District 40-04,JANICE LORRAH,Republican Party,842,79.28 %
Election District 40-05,LYDIA YORK,Democratic Party,235,28.98 %
Election District 40-05,JANICE LORRAH,Republican Party,576,71.02 %
Election District 40-06,LYDIA YORK,Democratic Party,174,19.27 %
Election District 40-06,JANICE LORRAH,Republican Party,729,80.73 %
Election District 40-07,LYDIA YORK,Democratic Party,244,29.22 %
Election District 40-07,JANICE LORRAH,Republican Party,591,70.78 %
Election District 40-08,LYDIA YORK,Democratic Party,113,21.69 %
Election District 40-08,JANICE LORRAH,Republican Party,408,78.31 %
Election District 41-01,LYDIA YORK,Democratic Party,67,11.96 %
Election District 41-01,JANICE LORRAH,Republican Party,493,88.04 %
Election District 41-02,LYDIA YORK,Democratic Party,187,23.97 %
Election District 41-02,JANICE LORRAH,Republican Party,593,76.03 %
Election District 41-03,LYDIA YORK,Democratic Party,54,23.58 %
Election District 41-03,JANICE LORRAH,Republican Party,175,76.42 %
Election District 41-04,LYDIA YORK,Democratic Party,245,31.01 %
Election District 41-04,JANICE LORRAH,Republican Party,545,68.99 %
Election District 41-05,LYDIA YORK,Democratic Party,358,41.87 %
Election District 41-05,JANICE LORRAH,Republican Party,497,58.13 %
Election District 41-06,LYDIA YORK,Democratic Party,366,28.57 %
Election District 41-06,JANICE LORRAH,Republican Party,915,71.43 %
Election District 41-07,LYDIA YORK,Democratic Party,216,30.9 %
Election District 41-07,JANICE LORRAH,Republican Party,483,69.1 %
Election District 41-08,LYDIA YORK,Democratic Party,605,42.82 %
Election District 41-08,JANICE LORRAH,Republican Party,808,57.18 %
Election District 41-09,LYDIA YORK,Democratic Party,217,42.8 %
Election District 41-09,JANICE LORRAH,Republican Party,290,57.2 %
Election District 41-10,LYDIA YORK,Democratic Party,291,29.28 %
Election District 41-10,JANICE LORRAH,Republican Party,703,70.72 %
Election District 41-11,LYDIA YORK,Democratic Party,323,28.31 %
Election District 41-11,JANICE LORRAH,Republican Party,818,71.69 %
Election District 01-01,COLLEEN DAVIS,Democratic Party,442,87.35 %
Election District 01-01,GREG COVERDALE,Republican Party,64,12.65 %
Election District 01-02,COLLEEN DAVIS,Democratic Party,522,91.74 %
Election District 01-02,GREG COVERDALE,Republican Party,47,8.26 %
Election District 01-03,COLLEEN DAVIS,Democratic Party,289,93.83 %
Election District 01-03,GREG COVERDALE,Republican Party,19,6.17 %
Election District 01-04,COLLEEN DAVIS,Democratic Party,395,88.96 %
